FB_NR,BFS_WENKER,ORTSNAME,X,Y,,,Bezirk,Kanton,Transkription
46104,3681_1,Im Bach Gm. Avers,759270,148942,,,Hinterrhein,GR,ja / ja
46105,843_4,Saanen Dorf,586321,148613,,,Saanen,BE,ja
46106,793_3,Matten Gm. St. Stephan,598563,149655,,,Obersimmental,BE,
46107,843_1,Gruben,588123,148406,,,Saanen,BE,
46108,792_1,Gutenbrunnen Gm. Lenk,600487,145877,,,Obersimmental,BE,
46109,843_6,Gstaad Gm. Saanen,588154,147091,,,Saanen,BE,
46110,843_2,Bissen Gm. Saanen,589600,146240,,,Saanen,BE,
46111,792_3,Boden-Aegerten Gm. Lenk,599350,145730,,,Obersimmental,BE,
46112,792_4,Brand Gm. Lenk,600860,145120,,,Obersimmental,BE,
46113,792_2,Lenk,600401,145232,,,Obersimmental,BE,
46114,843_5,Grund Gm. Saanen,587230,143000,,,Saanen,BE,
46115,842_1,Lauenen  Gm. Saanen,591060,141454,,,Saanen,BE,ja / ja
46116,792_5,Pöschenried Gm. Lenk,600360,143650,,,Obersimmental,BE,
46117,792_6,Oberried Gm. Lenk,602380,141900,,,Obersimmental,BE,
46118,561_2,Stiegelschwand Gm. Adelboden,607530,148428,,,Frutigen,BE,in Bearb.
46119,6058_1,Fieschertal,654147,141356,,,Goms,VS,ja / ja
46120,6063_1,Münster,663239,148640,,,Goms,VS,ja
46121,6067_1,Reckingen,661699,146778,,,Goms,VS,ja
46122,6060_1,Gluringen,660926,146178,,,Goms,VS,ja
46123,841_1,Feutersoey Gm. Gsteig,587095,140710,,,Saanen,BE,
46124,841_2,Gsteig,586829,137118,,,Saanen,BE,ja
46125,6057_1,Fiesch,653369,139315,,,Goms,VS,ja
46126,6180_1,Ried-Mörel,645762,134108,,,Raron,VS,ja
46127,6173_1,Bitsch,643843,131810,,,Raron,VS,ja / ja
46128,6199_1,Raron,627823,128957,,,Raron,VS,ja
46129,6101_1,Agarn,617457,127169,,,Leuk,VS,ja / ja
46130,6115_1,Unterems,619862,126741,,,Leuk,VS,ja
46131,6112_1,Oberems,619804,125617,,,Leuk,VS,ja
46132,6193_1,Hasel Gm. Bürchen,629050,125519,,,Raron,VS,ja / ja
46133,6007_1,Naters,642316,130630,,,Brig,VS,ja
46134,6191_1,Ausserberg,631620,129163,,,Raron,VS,ja
46135,6004_1,Eggerberg,634066,128481,,,Brig,VS,ja / ja
46136,6298_1,Visperterminen,635777,123168,,,Visp,VS,ja / ja
46137,6008_1,Ried bei Brig,644368,129132,,,Brig,VS,ja
46138,6292_1,St. Niklaus,628032,113812,,,Visp,VS,ja
46139,6293_1,Stalden ,633348,120289,,,Visp,VS,ja
46140,6009_1,Simplon,647676,116233,,,Brig,VS,ja
46141,6289_1,Saas-Balen,637848,111569,,,Visp,VS,ja
46142,6291_1,Saas-Grund,638482,108053,,,Visp,VS,ja / ja
46143,6011_1,Zwischbergen,652239,112526,,,Brig,VS,ja / ja
46144,6295_1,Täsch,626253,101767,,,Visp,VS,ja
46145,6300_1,Zermatt,623812,96492,,,Visp,VS,ja / ja
42823/24,3255_1,Rebstein,761795,251945,,,Oberrheintal,SG,ja
42825/26,3251_3,Lüchingen,759765,250631,,,Oberrheintal,SG,ja
44642/43,53_1,Bülach,682668,264267,,,Bülach,ZH,
44715/16,4261_1,Wallbach,634858,267584,,,Rheinfelden,AG,
44833/34,2481_1,Witterswil,606351,259376,,,Dorneck,SO,
44863/64,2492_1,Kienberg,639919,254350,,,Gösgen,SO,
45043/44,4275_2,Kirchleerau 2,647237,236355,,,Zofingen,AG,
45363/64,176_2,Grafstal,695151,255630,,,Pfäffikon,ZH,
45587/88,6_1,Uerzlikon,680192,230767,,,Affoltern,ZH,
45621/23,1346_1,Schübelbach,713893,226026,,,March,SZ,
45712/13,2291_1,Alterswil,586386,182651,,,Sense,FR,ja
46075/76,3923_1,Castiel,765340,189924,,,Plessur,GR,
80000,4174_1,Oberhofen ,652286,267340,,,Laufenburg,AG,
80001,3005_2,Berg Gm. Stein ,743530,250450,,,Hinterland,AR,ja
80002,3025_2,Hüttschwendi Gm.Trogen,753850,252110,,,Mittelland,AR,ja
80003,3038_3,Hasli Gm. Wolfhalden,759670,258940,,,Vorderland,AR,ja
80004,576_1,Endweg Gm. Grindelwald,645383,163544,,,Interlaken,BE,ja / ja
80005,576_2,Talhaus Gm. Grindelwald,646555,163948,,,Interlaken,BE,ja
80006,781_1,Gadmen,669878,176754,,,Oberhasli,BE,ja
80007,951_1,Affoltern i.E.,622311,212696,,,Trachselwald,BE,ja
80008,952_1,Dürrenroth,626842,215516,,,Trachselwald,BE,ja
80009,953_1,Eriswil,631333,214358,,,Trachselwald,BE,ja
80010,957_4,Fritzenhaus Gm. Wasen i.E.,630240,211032,,,Trachselwald,BE,
80011,954_1,Huttwil,631195,218048,,,Trachselwald,BE,ja
80012,958_1,Kramershaus Gm. Heimisbach,624515,206824,,,Trachselwald,BE,
80013,956_1,Rüegsau,617904,208296,,,Trachselwald,BE,ja
80014,957_3,Schonegg Gm. Sumiswald,623675,210023,,,Trachselwald,BE,
80015,957_1,Sumiswald,623326,208524,,,Trachselwald,BE,ja
80016,959_1,Walterswil ,625819,218077,,,Trachselwald,BE,
80017,957_2,Wasen i.E.,627436,210385,,,Trachselwald,BE,
80018,960_1,Wyssachen,629610,214258,,,Trachselwald,BE,
80019,2299_1,Lichtena,587286,167939,,,Sense,FR,
80020,2301_2,Weissenstein Gm. Rechthalten,584930,179650,,,Sense,FR,
80021,3251_2,Lienz,757260,238356,,,Oberrheintal,SG,
80022,3216_1,Langmoos Gm. Rorschacherberg,756006,260067,,,Rorschach,SG,
80023,5304_1,Bosco/Gurin,681140,130000,,,,TI,ja / ja
80024,4411_2,Hegi,744556,264558,,,Arbon,TG,
80025,4411_4,Ringenzeichen Gm. Egnach,746741,265842,,,Arbon,TG,
80026,,Aachen bei Arbon,,,,,,TG,
80027,4486_1,Hoferberg Gm. Wilen-Gottsberg,739034,261874,,,Bischofszell,TG,
80028,4681_1,Eggethof,736142,271321,,,Kreuzlingen,TG,
80029,4761_2,Egg (Sirnach),716270,256715,,,Münchwilen,TG,
80030,4791_1,Gabris,729194,261592,,,Münchwilen,TG,
80031,4756_2,Wartenwil,726610,263742,,,Münchwilen,TG,
80033,3101_1,Appenzell,748965,243838,,,,AI,ja
,3752_1,Compatsch Gm. Samnaun,822422,203309,,,Inn,GR,
,13_2,Dägerst,679529,239189,,,Affoltern,ZH,
,3102_1,Gonten,744273,243694,,,,AI,
,3103_1,Rüte,750549,242991,,,,AI,
,3104_1,Schlatt-Haslen,747915,246926,,,,AI,
,3105_1,Schwende,751014,240715,,,,AI,
,4401_3,Stachen,748645,263714,,,Arbon,TG,
,3006_2,Urnäsch,739644,242472,,,Hinterland,AR,ja
,261_1,Zürich,682736,248230,,,Zürich,ZH,
,,,,,,,,,
,,,,,,,,,
Liechtenstein,,,,,,,,,
42972/73,,Balzers-Mäls,,,,,,LI,ja
42913/14,,Eschen,,,,,,LI,
42907/08,,Gamprin,,,,,,LI,
42909/10,,Mauren,,,,,,LI,
42915/16,,Nendeln,,,,,,LI,
42905/06,,Planken,,,,,,LI,
42901/02,,Ruggell,,,,,,LI,
42917,,Schaan,,,,,,LI,
42911/12,,Schaanwald,,,,,,LI,
42903/04,,Schellenberg,,,,,,LI,
42949/50,,Triesen,,,,,,LI,
42947/48,,Triesenberg,,,,,,LI,
42946,,Vaduz,,,,,,LI,
